Date,Price
2/13/2022,472
2/12/2022,470
2/11/2022,470
2/10/2022,390
2/9/2022,312
2/8/2022,277
2/7/2022,267
2/6/2022,267
2/5/2022,267
2/4/2022,267
2/3/2022,267
2/2/2022,267
2/1/2022,267
1/31/2022,267
1/30/2022,266
1/29/2022,266
1/28/2022,266
1/27/2022,266
1/26/2022,266
1/25/2022,267
1/24/2022,267
1/23/2022,258
1/22/2022,258
1/21/2022,258
1/20/2022,267
1/19/2022,267
1/18/2022,258
1/17/2022,258
1/16/2022,259
1/15/2022,259
1/14/2022,259
1/13/2022,259
1/12/2022,258
1/11/2022,258
1/10/2022,258
1/9/2022,258
1/8/2022,258
1/7/2022,258
1/6/2022,258
1/5/2022,258
1/4/2022,258
1/3/2022,258
1/2/2022,258
1/1/2022,258
12/31/2021,258
12/30/2021,258
12/29/2021,256
12/28/2021,256
12/27/2021,256
12/26/2021,291
12/25/2021,265
12/24/2021,256
12/23/2021,256
12/22/2021,291
12/21/2021,265
12/20/2021,256
12/19/2021,255
12/18/2021,255
12/17/2021,291
12/16/2021,291
12/15/2021,291
