Date,Price
2/13/2022,418
2/12/2022,418
2/11/2022,418
2/10/2022,360
2/9/2022,405
2/8/2022,404
2/7/2022,404
2/6/2022,404
2/5/2022,404
2/4/2022,403
2/3/2022,393
2/2/2022,393
2/1/2022,393
1/31/2022,393
1/30/2022,393
1/29/2022,368
1/28/2022,394
1/27/2022,394
1/26/2022,394
1/25/2022,369
1/24/2022,394
1/23/2022,394
1/22/2022,394
1/21/2022,359
1/20/2022,359
1/19/2022,360
1/18/2022,360
1/17/2022,360
1/16/2022,360
1/15/2022,359
1/14/2022,359
1/13/2022,359
1/12/2022,359
1/11/2022,359
1/10/2022,359
1/9/2022,359
1/8/2022,359
1/7/2022,359
1/6/2022,359
1/5/2022,359
1/4/2022,359
1/3/2022,432
1/2/2022,434
1/1/2022,433
12/31/2021,431
12/30/2021,431
12/29/2021,358
12/28/2021,431
12/27/2021,431
12/26/2021,393
12/25/2021,393
12/24/2021,392
12/23/2021,392
12/22/2021,357
12/21/2021,357
12/20/2021,431
12/19/2021,433
12/18/2021,427
12/17/2021,426
12/16/2021,429
12/15/2021,429
