location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
Brazil,12/15/2021,22205707,5078,4620.571,617552,298,145.571,103768.166,23.73,21.592,2885.845,1.393,0.68
Brazil,12/16/2021,22209368,3661,3893.143,617675,123,134.571,103785.274,17.108,18.193,2886.42,0.575,0.629
Brazil,12/17/2021,22213731,4363,3507.143,617873,198,130.286,103805.663,20.388,16.389,2887.346,0.925,0.609
Brazil,12/18/2021,22216112,2381,3463.857,618011,138,142.429,103816.789,11.127,16.187,2887.99,0.645,0.666
Brazil,12/19/2021,22217570,1458,3441.429,618066,55,138.571,103823.603,6.813,16.082,2888.247,0.257,0.648
Brazil,12/20/2021,22220209,2639,3422.714,618149,83,144,103835.935,12.332,15.994,2888.635,0.388,0.673
Brazil,12/21/2021,22223943,3734,3330.571,618220,71,138,103853.384,17.449,15.564,2888.967,0.332,0.645
Brazil,12/22/2021,22227169,3226,3066,618366,146,116.286,103868.459,15.075,14.328,2889.649,0.682,0.543
Brazil,12/23/2021,22230943,3774,3082.143,618492,126,116.714,103886.095,17.636,14.403,2890.238,0.589,0.545
Brazil,12/24/2021,22234623,3680,2984.571,618655,163,111.714,103903.292,17.197,13.947,2891,0.762,0.522
Brazil,12/25/2021,22238297,3674,3169.286,618686,31,96.429,103920.461,17.169,14.81,2891.145,0.145,0.451
Brazil,12/26/2021,22243266,4969,3670.857,618732,46,95.143,103943.681,23.22,17.154,2891.36,0.215,0.445
Brazil,12/27/2021,22250218,6952,4287,618797,65,92.571,103976.168,32.487,20.033,2891.663,0.304,0.433
Brazil,12/28/2021,22259270,9052,5046.714,618978,181,108.286,104018.468,42.3,23.583,2892.509,0.846,0.506
Brazil,12/29/2021,22269031,9761,5980.286,619095,117,104.143,104064.082,45.614,27.946,2893.056,0.547,0.487
Brazil,12/30/2021,22281649,12618,7243.714,619249,154,108.143,104123.046,58.964,33.85,2893.776,0.72,0.505
Brazil,12/31/2021,22291839,10190,8173.714,619334,85,97,104170.665,47.618,38.196,2894.173,0.397,0.453
Brazil,1/1/2022,22295621,3782,8189.143,619367,33,97.286,104188.338,17.673,38.268,2894.327,0.154,0.455
Brazil,1/2/2022,22297427,1806,7737.286,619401,34,95.571,104196.778,8.44,36.157,2894.486,0.159,0.447
Brazil,1/3/2022,22309081,11654,8409,619473,72,96.571,104251.237,54.46,39.296,2894.822,0.336,0.451
Brazil,1/4/2022,22328252,19171,9854.571,619654,181,96.571,104340.824,89.587,46.051,2895.668,0.846,0.451
Brazil,1/5/2022,22351104,22852,11724.714,619654,0,79.857,104447.612,106.788,54.79,2895.668,0,0.373
Brazil,1/6/2022,22386930,35826,15040.143,619654,0,57.857,104615.029,167.416,70.283,2895.668,0,0.27
Brazil,1/7/2022,22450222,63292,22626.143,619822,168,69.714,104910.795,295.766,105.733,2896.453,0.785,0.326
Brazil,1/8/2022,22499525,49303,29129.143,619937,115,81.429,105141.19,230.395,136.122,2896.991,0.537,0.381
Brazil,1/9/2022,22529183,29658,33108,620251,314,121.429,105279.783,138.593,154.715,2898.458,1.467,0.567
Brazil,1/10/2022,22563104,33921,36289,620366,115,127.571,105438.297,158.514,169.58,2898.995,0.537,0.596
Brazil,1/11/2022,22636359,73255,44015.286,620507,141,121.857,105780.621,342.324,205.685,2899.654,0.659,0.569
Brazil,1/12/2022,22724232,87873,53304,620641,134,141,106191.255,410.634,249.092,2900.28,0.626,0.659
Brazil,1/13/2022,22822177,97945,62178.143,620830,189,168,106648.956,457.701,290.561,2901.164,0.883,0.785
Brazil,1/14/2022,22933289,111112,69009.571,621063,233,177.286,107168.187,519.231,322.485,2902.253,1.089,0.828
Brazil,1/15/2022,22981851,48562,68903.714,621233,170,185.143,107395.119,226.932,321.99,2903.047,0.794,0.865
Brazil,1/16/2022,23015128,33277,69420.714,621327,94,153.714,107550.623,155.505,324.406,2903.486,0.439,0.718
Brazil,1/17/2022,23089509,74381,75200.714,621478,151,158.857,107898.209,347.585,351.416,2904.192,0.706,0.742
Brazil,1/18/2022,23229851,140342,84784.571,621803,325,185.143,108554.033,655.824,396.202,2905.711,1.519,0.865
Brazil,1/19/2022,23425392,195541,100165.714,622125,322,212,109467.804,913.771,468.078,2907.215,1.505,0.991
Brazil,1/20/2022,23595178,169786,110428.714,622476,351,235.143,110261.221,793.417,516.038,2908.856,1.64,1.099
Brazil,1/21/2022,23766499,171321,119030,622875,399,258.857,111061.811,800.59,556.232,2910.72,1.865,1.21
Brazil,1/22/2022,23931609,165110,135679.714,623191,316,279.714,111833.376,771.566,634.037,2912.197,1.477,1.307
Brazil,1/23/2022,24054405,122796,148468.143,623370,179,291.857,112407.207,573.831,693.798,2913.033,0.836,1.364
Brazil,1/24/2022,24142032,87627,150360.429,623636,266,308.286,112816.691,409.485,702.64,2914.276,1.243,1.441
Brazil,1/25/2022,24342322,200290,158924.429,624129,493,332.286,113752.655,935.963,742.66,2916.58,2.304,1.553
Brazil,1/26/2022,24560093,217771,162100.143,624717,588,370.286,114770.307,1017.653,757.501,2919.328,2.748,1.73
Brazil,1/27/2022,24789795,229702,170659.571,625390,673,416.286,115843.714,1073.407,797.499,2922.473,3.145,1.945
Brazil,1/28/2022,25050601,260806,183443.143,626170,780,470.714,117062.471,1218.757,857.237,2926.118,3.645,2.2
Brazil,1/29/2022,25256198,205597,189227,626870,700,525.571,118023.234,960.763,884.265,2929.389,3.271,2.456
Brazil,1/30/2022,25360647,104449,186606,627150,280,540,118511.329,488.094,872.017,2930.697,1.308,2.523
Brazil,1/31/2022,25463530,102883,188785.429,627589,439,564.714,118992.105,480.776,882.202,2932.749,2.051,2.639
Brazil,2/1/2022,25634781,171251,184637,628356,767,603.857,119792.368,800.263,862.816,2936.333,3.584,2.822
Brazil,2/2/2022,25820745,185964,180093.143,629301,945,654.857,120661.385,869.017,841.583,2940.749,4.416,3.06
Brazil,2/3/2022,26107894,287149,188299.857,630301,1000,701.571,122003.244,1341.859,879.933,2945.422,4.673,3.278
Brazil,2/4/2022,26326454,218560,182264.714,631265,964,727.857,123024.584,1021.34,851.73,2949.927,4.505,3.401
Brazil,2/5/2022,26484546,158092,175478.286,632095,830,746.429,123763.354,738.77,820.017,2953.805,3.879,3.488
Brazil,2/6/2022,26546399,61853,169393.143,632514,419,766.286,124052.396,289.042,791.581,2955.763,1.958,3.581
Brazil,2/7/2022,26616014,69615,164640.571,632946,432,765.286,124377.709,325.314,769.372,2957.782,2.019,3.576
Brazil,2/8/2022,26793497,177483,165530.857,634118,1172,823.143,125207.095,829.385,773.532,2963.259,5.477,3.847
Brazil,2/9/2022,26972914,179417,164595.571,635421,1303,874.286,126045.517,838.423,769.162,2969.348,6.089,4.086
Brazil,2/10/2022,27135550,162636,146808,636338,917,862.429,126805.522,760.005,686.04,2973.633,4.285,4.03
